ACTIVADOR;CIMA;FRECUENCIA
EA1FTW;EA1/OU-001;145.225,144.225
EA1FMJ;EA1/PO-022;145.350
EA1FNT;EA1/AT-186;144.575
EA1AER EA1FLU EA1FWI;EA1/ZA-002;145.250,144.250
EB2FDT;EA1/BU-002;145.475
EB1ESK;EA1/BU-004;145.425
EA1FWZ;EA1/BU-007;145.325
EA2CON;EA1/BU-096;144.620
EA2ETB;EA1/SO-003;145.500
EA7RX;EA1/SO-026;144.640
EA4DON EA4DOS;EA1/SG-001;145.300
EA4IPO;EA1/SG-003;144.540
EA9ADD;EA1/SG-005;145.275,144.275
EA4HCF EA4HOH EA1FMQ;EA1/SG-010;145.325,144
EA4HFO EA4GVU;EA1/SG-017;144.660
EA2FHK;EA1/CT-036;144.560
EA2DCA;EA2/BI-009;144.700
EA2DXY;EA2/VI-016;144.580
EA2EUS;EA2/NV-003;145.400
EA2BD;EA2/NV-032;144.680
EA2FDI;EA2/NV-035;144.720
EA2CCG;EA2/NV-148;144.575
EA4BQG;EA2/HU-093;144.760
EA2FED EA2FEG;EA2/ZG-001;145.450
EA3JHJ;EA3/LL-041;144.775
EA3HIG;EA3/LL-050;144.700
EA3IXK;EA3/LL-051;145.250
EA3O;EA3/GI-014;144.780
EA3GRW;EA3/BC-006;145.350,144.350
EA3HQR EA3IQK;EA3/TA-012;144.680
EA4NB;EA4/MD-002;145.525,144.525
EA4IIJ EA4GGU;EA4/MD-025;145.225
EA4HNZ;EA4/MD-052;144.520
EA4GUO;EA4/MD-054;144.560
EA4HGT;EA4/GU-002;145.550,144.550
EA4HIH;EA4/GU-014;145.400
EA4WT;EA4/GU-062;144.720
EA4AWF;EA4/GU-050;144.740
EA5PY;EA5/MU-021;144.780
EA5ITW;EA5/AT-010;144.640
EA5JTS;EA5/AT-017;144.620
EA5JYX;EA5/AT-020;144.660
EA6EE EA6APL EA6LU;EA6/MA-077;145.225,144.225
EA7OM EA7JV;EA7/JA-010;145.350,144.350
EC7ZT;EA7/MA-013;145.475
EA7KUG EA7KNC EA7GV;EA7/GR-002;145.250,144.250
EA4IS;EA1/LR-004;Cumbre en duda;
